Student_Roll_no,Name,Gender,DOB,Father's_Name,Mother's_Name,School_code,English,English_Grade,Mathematics,Mathematics_Grade,Social_Science,Social_Science_Grade,Hindi,Hindi_Grade,Science,Science_Grade
1,Samuel Richardson,Male,23-01-2009,Adrian Simpson,Tami Logan,5010,35,D,42,C2,20,E2,16,E2,71,B1
2,Paul Parker,Male,16-10-2008,Jesse Hunt,Melissa James,5010,41,C2,82,A2,64,B2,87,A2,24,E1
3,Monica Smith,Male,28-09-2008,Jake Hernandez,Jamie James,5010,68,B2,74,B1,91,A1,51,C1,93,A1
4,Charles Miranda,Male,21-08-2009,Carl Cox,Kathleen Brown,5010,31,D,41,C2,24,E1,32,D,49,C2
5,Michael Bates,Male,11-05-2009,John Washington,Dawn Ball MD,5010,23,E1,45,C2,65,B2,71,B1,69,B2
6,Abigail Thompson,Male,02-04-2009,Robert Moore,Paige Lin,5010,95,A1,90,A2,17,E2,35,D,89,A2
7,Mary Ali,Male,08-12-2008,Alan Cooper,Victoria Best,5010,11,E2,70,B2,80,B1,67,B2,18,E2
8,Jacob Price,Female,07-11-2008,Randy Ryan,Kathryn Harris,5010,42,C2,84,A2,70,B2,90,A2,56,C1
9,Gabriela Vargas,Female,21-06-2009,Joseph Mcclure,Kathy Olson,5010,74,B1,80,B1,55,C1,28,E1,60,C1
10,Reginald Wright,Female,12-11-2008,Charles Carter,Brittany Mccann,5010,65,B2,30,E1,16,E2,91,A1,58,C1
11,Kathleen Gibbs,Female,11-09-2008,Scott Smith,Denise Marquez,5010,17,E2,80,B1,59,C1,82,A2,57,C1
12,Jennifer Morgan,Female,15-10-2008,John Ford,Mary Higgins,5010,81,A2,37,D,79,B1,53,C1,34,D
13,Jeffrey Hall,Male,18-03-2009,Cameron Wheeler,Erin Wilkins,5010,73,B1,29,E1,31,D,65,B2,72,B1
14,Kelly Zimmerman,Female,01-03-2008,Matthew Rowland,Holly Thomas,5010,19,E2,36,D,94,A1,76,B1,59,C1
15,Matthew Navarro,Female,14-11-2009,Andrew Cruz,Donna Flores MD,5010,62,B2,26,E1,20,E2,63,B2,36,D
16,Brian Hayes,Male,14-02-2008,Jason Edwards,Cassie Herrera,5010,63,B2,84,A2,15,E2,18,E2,57,C1
17,Tammy Warner,Male,22-12-2009,Michael Mcdowell,Shannon Stanley,5010,85,A2,80,B1,15,E2,18,E2,71,B1
18,Amanda Johnston,Male,20-03-2008,James Moreno,Maria Carter,5010,21,E1,17,E2,23,E1,10,E2,32,D
19,Lori Thomas PhD,Male,04-04-2008,William Garcia,Lauren Rhodes,5010,12,E2,28,E1,78,B1,59,C1,26,E1
20,Tracy Bray,Male,13-03-2009,Thomas Parker,Karen Williams,5010,52,C1,94,A1,16,E2,43,C2,12,E2
21,James Rosales,Male,18-08-2008,Ryan Little,Emily Ortiz,5010,61,B2,52,C1,28,E1,99,A1,29,E1
22,Elizabeth Austin,Male,06-06-2008,William Harrell,Theresa Lee,5010,60,C1,53,C1,37,D,78,B1,48,C2
23,Reginald Delgado,Female,14-12-2009,Paul Wilson,Cynthia Cooper,5010,81,A2,51,C1,69,B2,71,B1,36,D
24,Ana Barrera,Male,02-05-2009,Anthony Phillips,Tracie Salinas,5010,68,B2,85,A2,75,B1,28,E1,70,B2
25,Jessica Martin,Male,05-01-2009,Kevin Hill,Kimberly Thomas,5010,57,C1,14,E2,59,C1,49,C2,21,E1
26,Douglas Butler,Female,15-12-2008,Erik Schroeder,Elizabeth Roberts,5010,64,B2,28,E1,44,C2,96,A1,85,A2
27,Diane Horn,Female,19-06-2008,Mark Castillo,Monica Fletcher,5010,33,D,32,D,66,B2,29,E1,99,A1
28,Thomas Hernandez,Female,25-12-2009,Michael Sparks,Rachel Howell,5010,48,C2,42,C2,84,A2,27,E1,31,D
29,Heather Cruz,Male,13-10-2008,Nicholas Garcia,Amy Higgins,5010,11,E2,61,B2,38,D,35,D,26,E1
30,Joseph Mendez,Female,05-11-2008,Keith Evans,Amanda Rivera,5010,39,D,31,D,44,C2,67,B2,29,E1
